winner_name,loser_name,winner_tot_minutes,loser_tot_minutes,tourney_id,surface,abs_minute_diff,winner_adv,adv_category
Elise Mertens,Simona Halep,516,460,2019-1003,Hard,56,0,50-99
Maria Sakkari,Johanna Konta,464,617,2019-1005,Clay,153,1,150+
Sofia Kenin,Samantha Stosur,532,618,2019-1023,Hard,86,1,50-99
Karolina Muchova,Magda Linette,385,410,2019-1024,Hard,25,1,0-49
Petra Martic,Marketa Vondrousova,616,416,2019-1027,Clay,200,0,150+
Garbine Muguruza,Victoria Azarenka,520,406,2019-1039,Hard,114,0,100-149
Julia Goerges,Bianca Andreescu,480,568,2019-1049,Hard,88,1,50-99
Sofia Kenin,Anna Karolina Schmiedlova,408,567,2019-1050,Hard,159,1,150+
Petra Kvitova,Anett Kontaveit,377,356,2019-1051,Clay,21,0,0-49
Ashleigh Barty,Julia Goerges,387,422,2019-1052,Grass,35,1,0-49
Naomi Osaka,Anastasia Pavlyuchenkova,325,380,2019-1056,Hard,55,1,50-99
Aryna Sabalenka,Alison Riske,450,462,2019-1063,Hard,12,1,0-49
Yulia Putintseva,Tamara Zidansek,608,551,2019-1068,Clay,57,0,50-99
Ekaterina Alexandrova,Aliaksandra Sasnovich,394,438,2019-1072,Hard,44,1,0-49
Aryna Sabalenka,Alison Riske,522,688,2019-1075,Hard,166,1,150+
Rebecca Peterson,Heather Watson,588,533,2019-1076,Hard,55,0,50-99
Rebecca Peterson,Elena Rybakina,490,535,2019-1077,Hard,45,1,0-49
Elena Rybakina,Patricia Maria Tig,374,430,2019-1079,Clay,56,1,50-99
Caroline Garcia,Donna Vekic,492,524,2019-1080,Grass,32,1,0-49
Aryna Sabalenka,Kiki Bertens,407,431,2019-1081,Hard,24,1,0-49
Jil Teichmann,Karolina Muchova,481,648,2019-1082,Clay,167,1,150+
Kiki Bertens,Donna Vekic,353,457,2019-1086,Hard,104,1,100-149
Tamara Zidansek,Sara Sorribes Tormo,615,495,2019-1090,Clay,120,0,100-149
Sofia Kenin,Belinda Bencic,500,560,2019-1091,Grass,60,1,50-99
Fiona Ferro,Alize Cornet,487,470,2019-1094,Clay,17,0,0-49
Dayana Yastremska,Ajla Tomljanovic,454,494,2019-1096,Hard,40,1,0-49
Alison Van Uytvanck,Marketa Vondrousova,595,546,2019-1097,Hard,49,0,0-49
Polona Hercog,Iga Swiatek,585,485,2019-1101,Clay,100,0,100-149
Anastasija Sevastova,Katarzyna Kawa,503,445,2019-2006,Clay,58,0,50-99
Karolina Pliskova,Petra Martic,381,499,2019-2008,Hard,118,1,100-149
Magda Linette,Camila Giorgi,562,597,2019-2010,Hard,35,1,0-49
Ashleigh Barty,Marketa Vondrousova,540,595,2019-520,Clay,55,1,50-99
Simona Halep,Serena Williams,569,546,2019-540,Grass,23,0,0-49
Bianca Andreescu,Serena Williams,735,553,2019-560,Hard,182,0,150+
Naomi Osaka,Petra Kvitova,678,572,2019-580,Hard,106,0,100-149
Petra Kvitova,Ashleigh Barty,463,515,2019-M001,Hard,52,1,50-99
Yafan Wang,Sofia Kenin,462,516,2019-M004,Hard,54,1,50-99
Bianca Andreescu,Angelique Kerber,692,580,2019-M006,Hard,112,0,100-149
Ashleigh Barty,Karolina Pliskova,562,616,2019-M007,Hard,54,1,50-99
Karolina Pliskova,Johanna Konta,504,677,2019-M009,Clay,173,1,150+
Alison Riske,Kiki Bertens,578,442,2019-M010,Grass,136,0,100-149
Belinda Bencic,Anastasia Pavlyuchenkova,409,633,2019-M014,Hard,224,1,150+
Naomi Osaka,Ashleigh Barty,550,604,2019-M015,Hard,54,1,50-99
Karolina Pliskova,Angelique Kerber,303,300,2019-M016,Grass,3,0,0-49
Karolina Pliskova,Lesia Tsurenko,513,430,2019-M020,Hard,83,0,50-99
Kiki Bertens,Simona Halep,460,501,2019-M021,Clay,41,1,0-49
Madison Keys,Svetlana Kuznetsova,599,671,2019-M024,Hard,72,1,50-99
Jessica Pegula,Camila Giorgi,492,435,2019-M035,Hard,57,0,50-99
Elina Svitolina,Elena Rybakina,427,447,2020-0406,Clay,20,1,0-49
