player_name,win,sets,ace,df,svpt,first_in,first_won,second_in,second_won,matches_played,win_pct,first_won_pct,second_in_won_pct,second_won_pct,aces_set,df_set,aces_match,df_match
Anastasia Kulikova,4,9,17,5,251,163,119,83,49,4,1,0.7300613496932515,0.5903614457831325,0.5568181818181818,1.8888888888888888,0.5555555555555556,4.25,1.25
Anastasia Pavlyuchenkova,88,385,392,660,11458,7527,4884,3271,1726,162,0.5432098765432098,0.6488640892785971,0.5276673800061144,0.4390740269651488,1.018181818181818,1.7142857142857142,2.419753086419753,4.074074074074074
Anastasia Potapova,50,241,241,506,7150,3890,2481,2754,1428,101,0.49504950495049505,0.6377892030848329,0.5185185185185185,0.43803680981595094,1,2.099585062240664,2.386138613861386,5.00990099009901
Anastasia Vdovenco,0,9,1,5,295,194,109,96,38,4,0,0.5618556701030928,0.3958333333333333,0.37623762376237624,0.1111111111111111,0.5555555555555556,0.25,1.25
Anastasia Zakharova,0,11,6,19,365,211,112,135,68,4,0,0.5308056872037915,0.5037037037037037,0.44155844155844154,0.5454545454545454,1.7272727272727273,1.5,4.75
Anastasija Sevastova,99,410,441,393,12134,7286,4660,4455,2299,175,0.5657142857142857,0.6395827614603349,0.5160493827160494,0.47421617161716173,1.075609756097561,0.9585365853658536,2.52,2.2457142857142856
Anastasiya Komardina,0,2,1,2,86,53,29,31,15,1,0,0.5471698113207547,0.4838709677419355,0.45454545454545453,0.5,1,1,2
Anchisa Chanta,3,7,2,16,183,102,71,65,38,3,1,0.696078431372549,0.5846153846153846,0.4691358024691358,0.2857142857142857,2.2857142857142856,0.6666666666666666,5.333333333333333
Andre Lukosiute,4,10,4,23,284,183,111,78,53,4,1,0.6065573770491803,0.6794871794871795,0.5247524752475248,0.4,2.3,1,5.75
Andrea Gamiz,6,27,3,9,593,443,219,141,64,12,0.5,0.49435665914221216,0.45390070921985815,0.4266666666666667,0.1111111111111111,0.3333333333333333,0.25,0.75
Andrea Hlavackova,0,2,5,2,73,50,27,21,15,1,0,0.54,0.7142857142857143,0.6521739130434783,2.5,1,5,2
Andrea Lazaro Garcia,0,2,0,4,44,26,13,14,5,1,0,0.5,0.35714285714285715,0.2777777777777778,0,2,0,4
Andrea Petkovic,53,255,229,404,7734,5024,3039,2306,1233,112,0.4732142857142857,0.6048964968152867,0.5346921075455334,0.45498154981549815,0.8980392156862745,1.584313725490196,2.044642857142857,3.607142857142857
